id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
750063404491358773,Condo in Vancouver · 1 bedroom · 1 bed · 1 bath,165738622,Carol-Lynne And Ryan,,Fairview,49.26772,-123.13623,entire home/apt,133.0,30,1,2023-02-02,0.09,1,153,1,,4.799709437963944
750101062724820483,Rental unit in Vancouver · 3 bedrooms · 3 beds · 2 baths,485833511,Colin,,Downtown,49.27582,-123.11418,entire home/apt,500.0,31,1,2023-08-12,0.24,1,365,1,,4.799709437963944
750296793958003198,Rental unit in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,339842846,Francesca,,Grandview-Woodland,49.27251,-123.07118,entire home/apt,125.0,3,3,2023-11-15,0.23,2,8,2,23-158558,5.0
750386879949124103,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,484051894,Wenjun,,Mount Pleasant,49.25866,-123.11309,private room,63.0,30,0,,,10,365,0,22-130929,4.799709437963944
750394758628177930,Home in Vancouver · 1 bedroom · 2 beds · 1 private bath,484051894,Wenjun,,Mount Pleasant,49.25991,-123.11321,private room,64.0,30,0,,,10,365,0,22-151398,4.799709437963944
750431639233118989,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,484051894,Wenjun,,Mount Pleasant,49.26012,-123.11337,private room,59.0,30,0,,,10,365,0,22-151398,4.799709437963944
750441180985884681,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,484051894,Wenjun,,Mount Pleasant,49.25858,-123.1115,private room,55.0,30,0,,,10,365,0,22-151398,4.799709437963944
750809889952292332,Home in Vancouver · ★4.83 · 2 bedrooms · 3 beds · 1 bath,166909481,Vivian,,Victoria-Fraserview,49.221041347900375,-123.07072343224851,entire home/apt,150.0,4,6,2023-09-04,1.09,2,175,6,23-246486,4.83
750819793969184016,Condo in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,28066838,Addy,,Kitsilano,49.2684061,-123.155338,entire home/apt,140.0,30,4,2023-10-14,0.73,1,183,4,,5.0
750831473124850754,Rental unit in Vancouver · 1 bedroom · 1 bed · 2 baths,484170858,Alex,,Grandview-Woodland,49.28074,-123.06238,entire home/apt,113.0,30,1,2022-12-31,0.09,1,0,1,,4.799709437963944
751027759429899812,Guest suite in Vancouver · ★4.91 · 1 bedroom · 1 bed · 1 bath,10914394,Ryley,,Kensington-Cedar Cottage,49.25227,-123.06826,entire home/apt,74.0,3,44,2023-12-03,3.35,1,0,41,23-158675,4.91
751172685301036005,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,484051894,Wenjun,,Mount Pleasant,49.25853,-123.11269,private room,63.0,30,0,,,10,365,0,22-130929,4.799709437963944
751189910882177125,Home in Vancouver · 1 bedroom · 1 bed · 1 private bath,484051894,Wenjun,,Mount Pleasant,49.25875,-123.11292,private room,55.0,30,0,,,10,365,0,22-151398,4.799709437963944
751408343328701645,Condo in Vancouver · ★5.0 · 1 bedroom · 1 bed · 1 bath,3859188,Sepi,,West End,49.28426,-123.12478,entire home/apt,310.0,30,5,2023-06-23,0.43,3,0,5,,5.0
751423757365207825,Townhouse in Vancouver · ★4.89 · 2 bedrooms · 4 beds · 2 baths,482680830,Garth,,Downtown Eastside,49.2819096,-123.0899554,entire home/apt,146.0,1,44,2023-12-05,3.37,1,221,40,23-163244,4.89
751742278545937316,Guest suite in Vancouver · ★5.0 · 1 bedroom · 2 beds · 1 bath,8999784,Jessica,,Kitsilano,49.26631,-123.16803,entire home/apt,125.0,30,6,2023-10-31,0.6,1,41,6,,5.0
751818339220226361,Condo in Vancouver · 2 bedrooms · 2 beds · 2 baths,50493545,Dave,,Downtown,49.27649,-123.12142,entire home/apt,179.0,30,0,,,1,365,0,,4.799709437963944
751987249402655115,Condo in Vancouver · 2 bedrooms · 3 beds · 1 bath,115488315,Daina,,Mount Pleasant,49.2631743,-123.0877471,entire home/apt,150.0,4,0,,,1,0,0,22-300984,4.799709437963944
752929133702113082,Guest suite in Vancouver · ★4.50 · 2 bedrooms · 4 beds · 2 baths,261140021,Val,,Kerrisdale,49.2153,-123.15493,entire home/apt,150.0,1,10,2023-10-09,0.78,3,8,6,22-282438,4.5
752968877501016387,Townhouse in Vancouver · ★4.88 · 1 bedroom · 2 beds · 1 bath,15026338,Darya,,Kitsilano,49.27281,-123.14891,entire home/apt,195.0,3,42,2023-11-26,3.23,1,0,39,23-158297,4.88
752970831202875188,Condo in Vancouver · ★4.88 · 1 bedroom · 1 bed · 1 bath,227662329,Jordan,,Mount Pleasant,49.2695,-123.10201,entire home/apt,123.0,1,33,2023-12-01,2.5,134,309,32,23-158690,4.88
753111769380027991,Rental unit in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,486394914,Vicky,,Downtown,49.27521,-123.127,entire home/apt,119.0,2,38,2023-11-27,2.88,1,169,33,22-293185,4.89
753158627900905049,Condo in Vancouver · 1 bedroom · 2 beds · 1 bath,218138480,Lisa,,West End,49.28145247840726,-123.13517703280418,entire home/apt,90.0,90,2,2023-06-05,0.25,1,82,2,,4.799709437963944
753780999741605489,Condo in Vancouver · ★4.79 · 2 bedrooms · 3 beds · 2 baths,13100756,Kate,,Downtown,49.27484,-123.1287,entire home/apt,424.0,1,71,2023-11-26,5.37,4,165,65,22-297486,4.79
